"订单号";"发货号码";"正在处理中";"发运日期";"状态";"配送日期";"实际转移配送日期";"发货的金额";"货件的货币代码";"商品名称";"SKU";"货号";"二次包装";"加装封条";"您的价格";"商品的货币代码";"已由买家支付";"买家货币代码";"数量";"运费";"关联货件";"商品认购";"商品打折前的价格";"折扣 %";"折扣，卢布";"促销活动";"商品的体积重量，公斤"
"40826779-0289";"40826779-0289-1";"2026-08-17 03:07:53";"2026-08-17 16:30:00";"运输中";;"2026-08-17 16:30:31";"180.33";"USD";"Новый Garmin Forerunner 165 Black";"1971827174";"WGMF165K46BL";"不";"不";"180.33";"USD";"16481.00";"RUB";"1";;;;"180.33";"0%";"0.00";;"0.2"
"0157106096-0028";"0157106096-0028-1";"2026-08-17 00:43:47";"2026-08-17 08:30:00";"已签收";"2026-08-18 13:54:52";"2026-08-17 10:08:31";"23.77";"USD";"Новый HONOR CHOICE Earbuds X7 Pro Grey";"4633712503";"EHEX7PREGR";"不";"不";"23.77";"USD";"2340.95";"RUB";"1";;;;"23.77";"0%";"0.00";;"1.2"
"16929148-0656";"16929148-0656-1";"2026-08-16 14:58:00";"2026-08-17 12:30:00";"已签收";"2026-08-18 16:36:08";"2026-08-17 11:41:00";"41.80";"USD";"Новый realme Buds Clip Gold";"3035719507";"ERBCLIPGGD";"不";"不";"41.80";"USD";"4095.73";"RUB";"1";;;;"41.80";"0%";"0.00";;"0.2"
"93687557-0053";"93687557-0053-1";"2026-08-16 12:42:30";"2026-08-17 08:30:00";"运输中";;"2026-08-17 08:52:57";"475.43";"USD";"Новый CN OnePlus 15T 12/256GB Black";"4204096769";"MO15T5GCU12256BL";"不";"不";"475.43";"USD";"43858.00";"RUB";"1";;;;"475.43";"0%";"0.00";;"0.6"
"47505439-0041";"47505439-0041-1";"2026-08-14 13:48:11";"2026-08-15 02:30:00";"运输中";;"2026-08-15 03:27:59";"41.80";"USD";"Новый realme Buds Clip Gold";"3035719507";"ERBCLIPGGD";"不";"不";"41.80";"USD";"4055.24";"RUB";"1";;;;"41.80";"0%";"0.00";;"0.2"
"92992484-0079";"92992484-0079-1";"2026-08-13 17:07:58";"2026-08-14 15:00:00";"已签收";"2026-08-17 15:10:37";"2026-08-14 13:30:42";"65.58";"USD";"Новый Amazfit Active Black";"5054643060";"WAATGBL";"不";"不";"65.58";"USD";"5656.00";"RUB";"1";;;;"65.58";"0%";"0.00";;"0.2"
"0111006419-0031";"0111006419-0031-2";"2026-08-13 17:04:30";"2026-08-14 10:30:00";"已签收";"2026-08-17 12:27:52";"2026-08-14 06:01:44";"262.30";"USD";"Новый realme Pad 3 8/256GB Grey";"4276994184";"DRPD3WFGU8256GR";"不";"不";"262.30";"USD";"24294.00";"RUB";"1";;;;"262.30";"0%";"0.00";;"0.8"
"60900147-0013";"60900147-0013-1";"2026-08-13 10:19:01";"2026-08-13 17:00:00";"已签收";"2026-08-14 18:21:26";"2026-08-14 00:37:29";"59.92";"USD";"Новый realme Buds Air8 Pro Black";"3573978810";"ERBAIR8PEBL";"不";"不";"59.92";"USD";"4964.00";"RUB";"1";;;;"59.92";"0%";"0.00";;"0.2"
"92992484-0078";"92992484-0078-1";"2026-08-13 08:36:44";"2026-08-14 10:00:00";"已取消";;"2026-08-14 05:07:21";"65.58";"USD";"Новый Amazfit Active Pink";"5054642580";"WAATGPK";"不";"不";"65.58";"USD";"5656.00";"RUB";"1";;;;"65.58";"0%";"0.00";;"0.2"
"35163029-1441";"35163029-1441-1";"2026-08-09 12:47:23";"2026-08-09 20:00:00";"运输中";;"2026-08-09 22:56:30";"243.45";"USD";"Новый CN Garmin Forerunner 265 Black";"1936515175";"WGMFR265C46BL";"不";"不";"243.45";"USD";"21701.00";"RUB";"1";;;;"243.45";"0%";"0.00";;"0.3"
"38797658-2041";"38797658-2041-1";"2026-08-07 13:59:11";"2026-08-08 14:30:00";"已签收";"2026-08-16 07:08:11";"2026-08-08 14:00:30";"59.84";"USD";"Новый realme Watch S5 Grey";"4015703689";"WRWAHS5EGR";"不";"不";"59.84";"USD";"5036.00";"RUB";"1";;;;"59.84";"0%";"0.00";;"0.2"
"52148175-0376";"52148175-0376-2";"2026-08-06 08:46:42";;"已签收";"2026-08-12 08:07:27";"2026-08-06 15:20:46";"244.27";"USD";"Новый Garmin Vivoactive 6 Black";"2442077136";"WGMVVAT6KBL";"不";"不";"244.27";"USD";"21370.08";"RUB";"1";;;;"244.27";"0%";"0.00";;"1.2"
"49753528-0116";"49753528-0116-1";"2026-08-06 07:50:00";"2026-08-06 21:00:00";"已签收";"2026-08-12 12:48:52";"2026-08-06 19:09:11";"41.80";"USD";"Новый realme Buds Clip Gold";"3035719507";"ERBCLIPGGD";"不";"不";"41.80";"USD";"3833.49";"RUB";"1";;;;"41.80";"0%";"0.00";;"0.2"
"0125514551-0062";"0125514551-0062-1";"2026-08-02 04:13:02";"2026-08-02 17:00:00";"已取消";;"2026-08-02 11:14:13";"36.07";"USD";"Новый HONOR CHOICE Watch 2 Pro Black";"4868560221";"WHCW2PGBL";"不";"不";"36.07";"USD";"3284.95";"RUB";"1";;;;"36.07";"0%";"0.00";;"0.2"
"45697344-0209";"45697344-0209-1";"2026-08-01 08:00:38";"2026-08-02 02:00:00";"已签收";"2026-08-04 17:09:15";"2026-08-02 03:12:26";"286.90";"USD";"Новый realme Pad 3 5G 8/256GB Grey";"4272301876";"DRPD35GGE8256GR";"不";"不";"286.90";"USD";"24488.00";"RUB";"1";;;;"286.90";"0%";"0.00";;"0.8"
"0185242531-0016";"0185242531-0016-1";"2026-07-31 11:55:09";"2026-08-01 12:30:00";"已签收";"2026-08-10 14:14:37";"2026-07-31 19:44:48";"9.34";"USD";"Новый HONOR CHOICE Earbuds X7i White";"4607355094";"EHEX7IEWH";"不";"不";"9.34";"USD";"870.48";"RUB";"1";;;;"9.34";"0%";"0.00";;"1.2"
"43136166-0166";"43136166-0166-1";"2026-07-31 11:47:50";"2026-08-01 06:30:00";"已签收";"2026-08-04 13:45:53";"2026-08-01 06:35:25";"8.93";"USD";"Новый HONOR CHOICE Earbuds X7 Play White";"4634388090";"EHEX7PLEWH";"不";"不";"8.93";"USD";"832.38";"RUB";"1";;;;"8.93";"0%";"0.00";;"1.2"
"49880542-0083";"49880542-0083-1";"2026-07-31 10:31:12";"2026-08-01 13:00:00";"已签收";"2026-08-03 08:34:00";"2026-07-31 17:57:56";"41.80";"USD";"Новый realme Buds Clip Gold";"3035719507";"ERBCLIPGGD";"不";"不";"41.80";"USD";"3754.25";"RUB";"1";;;;"41.80";"0%";"0.00";;"0.2"
"37625683-0600";"37625683-0600-1";"2026-07-26 11:37:06";"2026-07-26 16:30:00";"已签收";"2026-07-31 15:18:46";"2026-07-27 00:42:42";"249.84";"USD";"Новый CN Garmin Forerunner 265 Black";"1936515175";"WGMFR265C46BL";"不";"不";"249.84";"USD";"20785.00";"RUB";"1";;;;"249.84";"0%";"0.00";;"0.3"
